customer_message,support_response
@VerizonSupport I don't think so? I was sent to the speed test link last night but it was too slow to even be able to load the website,"@317286 Are you using a Verizon router?
^JAY"
@115725 @341242 Don't listen to them. They lie. All lies. Deceipt.,@341241 This is not the perception we want you to have of us. Allow us to turn this around for you. How can we assist? ^DDG
@115722 There's no real live sports programming.   Just filler.   Please explain.,"@341243 What do you mean?  Please elaborate.
^CAR"
"@VerizonSupport Hi, I'm reaching out for my mom who never got her last FIOS bill...","@341731 Hello Tina, Are you an authorized party on your Mom's account?
^NHP"
@VerizonSupport I believe so. There's a bit of a language barrier so I normally reach out on her behalf. I have her acct info if needed.,@341731 Please follow and DM so we can continue. ^DDG
@VerizonSupport hi i want to open a verizona account and i wanted to know how much i need to pay to open it,"@180965 Hello, Are you requesting home or wireless service with us?
^NHP"
"@VerizonSupport I do follow, we should be able to DM","@341731 We're currently following you. Please send your DM request for further assistance.
^NHP"
@VerizonSupport Wireless,"@180965 Thanks for the tweet! Let us get our partners at @115990 to help you from here.
^JAY"
@VerizonSupport DSL,@303436 Gotcha! Please follow and DM so we can continue. ^DDG
@VerizonSupport i already tried google chrome and safari. neither worked.,"@299512 This is odd, do you happen to have the My Fios app to verify if you encounter the same issue with your account? ^JRA"
@VerizonSupport having issues getting service. plz help me.,@343259 Help is here! Are your concerns in reference to your residential or mobile account with us? ^DDG
@115722 why am I watching the Knicks game on msgplus2 and it looks like an old karate movie becuz it's no hi definition!!?? #cmonman,@343262 Our apologies as we do not control the content they choose to provide. What do you get on their HD feed in your area? ^JRA
@VerizonSupport mobile,@343259 We will have to refer this to our wireless counterparts @115990 for all your mobile concerns.  ^JRA
@VerizonSupport My internet hasn’t been working all day and it’s aways spotty. I’ve turned my modem off and on and my computer off and on and nothing,"@343260 Have you reset your battery back up box?
^NHP"
@VerizonSupport I don’t even know what that is,@343260 Do you happen to have Fios or DSL services with us and does the issue impact both wired and wireless devices? ^JRA
@115725 @VerizonSupport I rented and movie and this is what I see! What is going on??? https://t.co/BAdmtzXaq1,"@343681 Can you please reset your router and then your set top box.
^JAY"
@VerizonSupport oh and it's DSL,"@343260 No problem follow and DM us.
^JAY"
@VerizonSupport I'm located in Miami...,"@183987 Let us partner you with our Verizon Wireless Team @115990.  We will get this over to them for you. 
^FEM"
"@VerizonSupport Rude customer service, 9 timesout of10. My carrier since 1993-24years, MULTITUDES of family member phones&amp;if I hit a financial wall-zeroHelp",@337562 We will have to refer this to our wireless counterparts @115990 for all your mobile concerns.  ^JRA
@VerizonSupport i need someone to come out to the area in the God forsaken land I live and address the wifi please. It has started dropping in and out,"@219612 Hi There, Have you tried the Wireless Wizard on ""In Home Agent""? Here is a link to it: https://t.co/MmOJtKTqAr
^FEM"
@115722 I've rebooted the box several times. Coax cable is connected,@344350 We can help with this! Are you having the same experience with all boxes in you location? ^DDG
@VerizonSupport i haven't tried anything. i unplugged it and plugged it back in. still happening. up to you to do the rest. im not screwin with this for hours for what i pay.,@219612 It may be wireless interference beyond our control. When you lose connectivity is the internet light ever red on the router?  ^JRA
@VerizonSupport Have to be somewhere in 30 mins,"@344350 Do you know where the Battery Backup unit is located? 
^FEM"
@VerizonSupport No,@344350 It's a box about the size of a shoe box that might be located in a garage or basement if you have one.  ^FEM
Words cannot express how frustrating trying to deal with @VerizonSupport is. I would go back to a rotary phone to avoid this.,"@344728 We are to help, Can you provide us some detail into the matter?
^JAY"
@VerizonSupport No I only have Internet,"@338481 Thank you, for the unit that has the red fail light do you see a reset button to press on the power supply so the unit will reboot? ^JRA"
@VerizonSupport 2nd boxes says this https://t.co/YYEK940oyW,"@344350 Can you unplug the device and make sure all the lights go off for 30 seconds.
^JAY"
@VerizonSupport no clue. its upstairs. im not sittin in front of it. its never happened before. youre signal has continued to weaken until this happened. feel free to semd someone over to sit and stare at the lights and figure it out at any time. but it aint gonna be me,"@219612 There may be some wireless interference. Use this link to help change your wireless channel. ^DDG
https://t.co/55bFAK1GPl"
"@VerizonSupport Can't access my FIOS account via email address, account number, phone number, or account name. Your website won't recognize any of my info.","@344728 Are you using the Fios mobile app?
^FEM"
Let me tell you. I am now on my THIRD customer service call with Verizon. They have transferred me and transferred em. Made me repeat the exact same steps and yet my internet still doesn’t work. @115725 get your shit together.,@335337 We never want to hear this and want to provide the correct support. Is this regarding your Mobile or Residential services? ^JRA
@VerizonSupport Same problem. Can't access my account through any of your services. No way to pay my bill. And your chat is down!,"@344728 Understood, please use the support link that was provided in a DM so you may get to an agent for further assistance in our private chat.^JRA"
@115722 what’s wrong with the video feed? Only have audio I’m in Brooklyn 11249,"@344727 Oh no, it this the same on all TV's?
^FEM"
@VerizonSupport Done,"@344350 Please check your network again.
^JAY"
@VerizonSupport Residential. Internet is not working for the 5th day now.,@335337 What lights are lit on the router and what color are they?  ^FEM
@VerizonSupport nope. i dont know enough about this stuff to mess with it. my IT guy came here to set it up. cant disturb the anything that connects me to work server or pop whatever. cant hit reset. cant change IP address. id be toast.,@219612 So if we understand you have a customer setup that you cannot address. Are you currently able to connect? ^JRA
@VerizonSupport Well now I’m being told that I will have to pay for a technician to come out and fix the problem because “one of my devices are blocking the others from@receiving internet”. I’m not a computer whiz but I don’t think this is possible. Also I’m not paying for it.,"@335337 Are you currently speaking to one of our agents via the phone?
^NHP"
@VerizonSupport I am.,"@335337 Thanks, Please continue with them. If you still need help after you are finished we can help.
^FEM"
@115722 Please come to Jamestown,@205186 We appreciate you interest in Fios. What zip code is that? You can always check https://t.co/vD6ABJoLNE for availability. ^JRA
@VerizonSupport no clue what a customer setup means. i assume so because i have zero clue about IP addresses and i'm not messing up a half a dozen devices. i just know your service has dropped and is now cutting on and off. obv connected now,"@219612 Apologies, I meant custom setup since you advised it was done by your IT guy. It may be wireless interference since it works now. ^JRA"
@VerizonSupport 02835,"@205186 We're always expanding our Fios footprint. Check for availability at this link and updates. https://t.co/r8VAK6aepu
^NHP"
"@VerizonSupport i dont know what it is. thats the entire point. nothing has changed here in a decade. i want someone on your end out here to check it out. from the main box, back. u guys keep screwin with stuff. im already paying for nowhere near the speed i signed up for",@219612 Do you have a wired device to verify you get the correct speeds? Reboot your router so I can be put on another channel for your Wifi. ^JRA
"@VerizonSupport dont have a wored device that i know of. one laptop. two kindles, one ipad, three iphones.","@219612 Have you tried to reset you battery back up box?
^NHP"
Over 2 hours later and my internet STILL doesn’t work. @VerizonSupport https://t.co/Eb6uq2qgVd,"@335337 Are you currently on the phone with someone?
^JAY"
@VerizonSupport its dropped out three times since i sent that last reaponse,"@219612 Do you live in an apartment?
^JAY"
"@VerizonSupport No, where is it? https://t.co/C98BMGyTx7","@338481 Is there a reset button on the power supply?
^FEM"
"@VerizonSupport nope. tbqh, i'm tired of troubleshooting with you for free. discount my bill for the next month, or get someone out here tomorrow. this really shouldnt be my problem",@219612 Our apologies as we do not guarantee wireless connectvity as there are many factors that can impact it. Try rebooting the router again. ^JRA
@VerizonSupport No,"@335337 Were you given a ticket number or something for reference?
^JAY"
"@VerizonSupport Unfortunately I'm on @115900. But if @115725 can help me watch @346142 hockey in Tallahassee, I'll switch.",@344014 Unfortunately we would no info on when it may be available in your area.  ^JRA
@VerizonSupport done. quit putting me off. ive unplugged it three times. i have a clear view of the sky in 360 degrees from my house. semd somebody out here,@219612 Do you happen to have Fios or DSL services with us? Follow us and send a DM so we may verify some info with you privately.  ^JRA
@VerizonSupport Not at all.,"@335337 What did you the agent advise you about your service?
^NHP"
"@VerizonSupport Hi, we unplugged it for ten minutes but it still didn’t drain. How long would it take?  Can it be disconnected or manually reset?","@347502 Yes please do, that should cut the power instantly.
^JAY"
"@VerizonSupport We did hat, didn’t work","@347502 So the battery is disconnected and the unit is unplugged is that correct?
^JAY"
@115722 if I keep having issues w/ my cable I'm switching to another platform-this is #unwatchable #glitch #MLBplayoffs #Massachusetts,"@347501 Oh no, are you having the issue with the channel on all your TVs?  ^JRA"
"@115722 Just finish watching ""The Untouchables"" (via free Epix this weekend), I forgot what a great movie it is, thanks FIOS.","@347500 You are most welcome, and yes it is. If you ever need assistance we will be here for you 24x7. ^JRA"
@VerizonSupport Please follow me because I have a problem that needs attention and need to DM you.,"@205110 We are following you now.
^FEM"
"@VerizonSupport Yes, it's happening sporadically....disruption in the #Massachusetts market??",@347501 Can you locate the main splitter and make sure all the coax connections are good and tight? ^FEM
@115725 go fuck yourselves  I pay for 75 over 75 Mbps. Hardwired into your shitty router 🖕🖕🖕🖕 https://t.co/CMz5ieobW3,@336774 We want you to get what you pay for. Post your wired results with no other active devices for a benchmark from https://t.co/LW00h9kEGi  ^JRA
@VerizonSupport Yes but continues to fail.,@338481 Try to sign in with your credentials to check for outages at https://t.co/ufOiHSfq3G Let us know if there is no outage.  ^JRA
@VerizonSupport Yup. Like i said it's sporadic...perhaps an effort from the MLB at some drama ;) it reminds me of satellite TV...in and out due to weather,"@347501 Sounds like it may be a signal issue. If one of the connectors is loose it can be sporadic.
^FEM"
@VerizonSupport Everything is good and connected on my end...I will certainly notify if anything changes. Appreciate the swift response #thanks,@347501 You are most welcome and will be here for you 24x7. Have a great evening! ^JRA
@VerizonSupport Im not even a month in to my service and i need to troubleshoot my router? This is ridiculous.,"@317998 Hello Matt, We can assist you with troubleshooting your router. Please send us a DM so we can access your account. ^NHP"
@VerizonSupport Never got a dm...,"@344728 Hi John, can you return to the chat https://t.co/PU1d8CLX0H
^FEM"
@13508 @115725 someone better fix this ALCS feed. This picture is garbage cutting in and out,"@348556 Oh no Chris, are you watching this on the TV? Does it happen on all TV's or just one?
^FEM"
@115725 I took care of it. Just letting you know some of us want to talk to real people when we want help not endless button pushing,"@348791 If you ever have a problem you can come to us. We help here online.
^FEM"
@VerizonSupport Why does my internet stop working well the same exact day I pay my bill? 🤔,"@219613 KiKi, What exactly happens to your internet? Are you experiencing slow speeds or no service?
^NHP"
@VerizonSupport Oh that’s cool you don’t respond to my answer. Might as well been put on hold...,"@219614 Thanks for the tweet! This should have been picked up by @115990 they should be able to help you from here.
^JAY"
@VerizonSupport Slow service while watching @116602,"@219613 Are you experiencing this with other with any other connections?
^NHP"
@VerizonSupport wifi has cut off three time since i started telling u about it,"@219612 Have spoken to anyone about this issue?
^JAY"
@VerizonSupport need help,"@349515 Hello Jeff. We are here. How can we help?
^TXA"
"@VerizonSupport Activated my Apple Watch, number share not working","@349515 Let us partner you with our Verizon Wireless Team @115990.  We will get this over to them for you. 
^FEM"
Change my mind about a shitty credit? @115725 this is the most insulting thing you could've done. https://t.co/vO8z9ZAHmq,"@349514 Is this related to Verizon Residential or Cellular services?
^TXA"
"@VerizonSupport I know if I use your guys’ Speedtest I get no issues, but I don’t see how this is the speeds you guys promise.","@349517 We do not promise speeds over a WiFi connection. We do over the wired connection. We can not control Wireless interference.
^FEM"
"@115913 It’s not bad luck. I love my @115725 service , thank you very much.","@349699 Thanks Marina. 
^TXA"
@VerizonSupport Cellular,"@349514 Let us partner you with our Verizon Wireless Team @115990.  We will get this over to them for you. 
^FEM"
"@115722 I just renewed my service and the young lady told me nothing would change, now I'm missing ""Chiller"".",@349694 Apologies as we have no other info on why the channel was removed on the 10th as we see the same with other providers. ^JRA
@VerizonSupport I didn't pay for any of them was the first 3 episodes of season 4.,"@317726 Episode 2 is the only episode that is show a charge.
^TXA"
@115725 fix your shit ass fios before making all those bs commercials about how good your wifi is,"@349991 We never want our customers to feel this way. What issues are you having? Lets get them fixed now. 
^TXA"
"@115725 Yes. I have been also experiencing very slow upload and download speeds, but that seems to be normal for you guys",@350298 We want to provide the correct support. Is this regarding your Mobile or Residential services? ^JRA
@VerizonSupport The wifi shuts off once in a while then I lag a lot I keep disconnecting off the wifi,"@349991 Have you tried changing the channel to reduce the interference?
^TXA"
@VerizonSupport yeah! I called recently and they said that they fixed it but it got worse,@349991 Is the issue experienced by all devices in your home? How far are you from the router. ^JRA
"@VerizonSupport yeah, and the router is in the basement where the computer is at","@349991 When the connection drops, do the lights on the router change?
^TXA"
@VerizonSupport sometimes it changes to red,"@349991 When was the last time?
^TXA"
@VerizonSupport Like two days ago,@349991 So you may be experiencing wireless interference. Have you considered using a range extender since the router is in the basement? ^JRA
@VerizonSupport well most of our devices we use the wifi on are in the basement,"@349991 Please run a speedtest on a device now at https://t.co/DN3OQWzpgc. 
^TXA"
@VerizonSupport Well those were the results when I'm 10 feet away from it,@349991 Are you connected to the 2.4 of 5g when running the tests and were there other active devices? ^JRA
"@VerizonSupport I'm paying for 50mbps, getting 0.56mbps. FiOS is getting worse and worse with constant outages and slowness https://t.co/vDssBlTFC9","@350970 We will be happy to assist you with getting this fixed. Have you tried resetting your router?
^TXA"
@VerizonSupport I don't know what that is,"@349991 Some of our devices produce dual band wireless networks. One of those networks is 2.4GHZ  and the other is 5GHZ. 
^TXA"
"@VerizonSupport oh, I'm not entirely sure","@349991 When you look at what network you are connected to what is the name of it?
^FEM"
@VerizonSupport FIOS-V0MQP,"@349991 Thank you, if your devices support it you will see ""5G"" at the end of your network name and the password should be on the router label. ^JRA"
@VerizonSupport I don't see 5g anywhere,"@349991 Disconnect all devices except one and run a speed test.
^NHP"
@VerizonSupport Residential internet,"@350298 Can you please run a speedtest at https://t.co/DN3OQWzpgc on a wired device?
^TXA"
@VerizonSupport I was going to go to sleep after I put but @115722 remote and I saw rec lit and search tv schedule it werid,"@352189 Hello. How can we help you?
^TXA"
@VerizonSupport It werid why is recording something at 4am on Saturday morning on @115722,"@352189 If you have a recurring recording set and did not select first run only, It will record all shows no matter the time.
^NHP"
@VerizonSupport It wetid recording wheel of fortune at 4am instead of 4:30am lol,"@352189 Is it recording the correct program?
^TXA"
@VerizonSupport The only one that I love to record Sunday -am bones I hook on it,"@352189 Wheel of Fortune was set for repeat? 
^NHP"
@VerizonSupport I stop it was repeat,"@352189 Ok. Great. 

^TXA"
@VerizonSupport I know it was repeat because I watch that 3,"@352189 Okay, Let us know if we can assist you in the future.
^NHP"
@VerizonSupport I am in Paris and cannot connect to the  French network. I had an Apple technician here ck out my chip. He said prob is you,"@353225 Let us partner you with our Verizon Wireless Team @115990.  We will get this over to them for you. 
^FEM"
@VerizonSupport I wanna have a word with you =_=,"@354260 We will be happy to assist you. 
^TXA"
First FEARnet and now Chiller is gone.  That's rude @115725 for taking my horror away.,"@354259 Hello. Is there something we can assist you with?
^TXA"
"@VerizonSupport @5958 I've got to say. Regardless of the app, the Verizon FiOS login is always a headache.",@354785 Try clearing your browser cache. Let us know if it works. ^KMG
@115725 was reviewing my bill and came across this. Can you help explain these? Thanks! 😊 https://t.co/CMksYigB4L,"@384144 Hello Courntey. The Sur Charges can be explained here. https://t.co/fBZrx0dzI0
^TXA"
"@VerizonSupport Called in a service outage this morning 7:30AM EDT, went thru prompts no resolution, until Monday!? Really?",@357499 We do not like to make you wait. The weekends do get booked up pretty quick. Monday would be the soonest we will be able to make it. ^KMG
@VerizonSupport your customer support is truly the worst I have ever encountered.,"@263034 We are sorry to hear this. What is going on?
^ADP"
@VerizonSupport any FIOS locations in MD that we can return equipment and get information,"@291879 You can get a return box at this link. https://t.co/AxVN61H2qW
^ADP"
@VerizonSupport I would expect a credit then for the inconvenience.  There is probably a system wide outage in this area again.  I need a ticket #?,"@357499 You can always check for any outages and updates in your area at this link. https://t.co/CdxLxvZQOg
^ADP"
@VerizonSupport  this fios guide and on demand is painful to navigate. So slow. When are you going to introduce better technology?,"@123908 If you can go to https://t.co/gkmHFnzJtb and select deals tab and you will see what is eligible for your account. 
^ADP"
@VerizonSupport I did. Your interface is  behind Comcast. No incentive to stay with VERIZON. We need something new. Voice search and Netflix integration,@123908 Thank you for your feedback. We are always workign to improve our interface. ^KMG
@VerizonSupport a repair ticket VADQ0NUDE6 was created &amp; was  tobe  resolved on 10/13 by 12:15am. Havent seen a truck. at all. and its an medical emergency,"@358366 That ticket is part of an outage. We are currently working as fast as possible to resolve the issue. The issue is not at your location.
^TXA"
@VerizonSupport how is it that everyother prepaid plan has hotspot but the $80 one doesn't come w/ hotspot?! 😡😤,"@358592 Please contact our friends @115990 for assistance with Verizon Mobile service.
^TXA"
@VerizonSupport trying to make a payment. Your website isn't working.,"@358968 What error message are you receiving?
^TXA"
@VerizonSupport Yes the whole house is affected how can this be fixed?! I loved the service before there were no issues just the last 7 months has been hell,"@319664 There may be some wireless interference. Use this link to help change your wireless channel. ^DDG
https://t.co/55bFAK1GPl"
"@115990 Hi! I am trying to use my verizon app to access my verizon up account, but it won't update and doesn't have verizon up on it.","@358967 Hi Caroline, do you have fios?
^ADP"
"@VerizonSupport Just yesterday, Thursday and Wednesday internet has been turning off n on , constantly having to restart modem, constantly putting password","@319664 Are there any changes in the lights on the router when the service is down?
^TXA"
"@VerizonSupport No, I do not. I only have verizon for my phone plan.","@358967 Please contact our friends @115990 for assistance with Verizon Mobile service.
^TXA"
It is disgusting how @119033 now part of @115725 handles customer service. I’ll never sign up for any Verizon services.,"@359261 We appreciate your feedback. Let us know if you need any assistance. 
^ADP"
@VerizonSupport I do not like to complain I really don’t complain period unless I feel I’m being violated at some point. I work very hard n just want this..,"@319664 We know you want to be comfy. Try to change the wireless channel because that can really make a difference on getting better signal. 
^ADP"
@VerizonSupport The tablet you were nice enough to sell me back in march is now having serious tech issues. Not software related. What to do,"@359262 Please contact our friends @115990 for assistance with Verizon Mobile service.
^TXA"
.@115725 please bring Fios to OKC &amp; surr. areas. We’re suffering under monopoly of @116021,"@385313 We are always looking to expand the network. Keep checking our website for updates. 
^TXA"
@VerizonSupport @115725 I got charg d twice on auto-bill pay. Trying to reach billing dept. no response. Can someone contact me? https://t.co/7x7JppnhL1,@359259 We can help! Please follow and DM so we can continue. ^DDG
Pay $$$$$$ for @115725 FIOS only to be charged to watch on demand shows? Not premium channel shows but regular network TV shows. Robbery.,"@359260 Please follow and DM so we can continue. 
^DDG"
"@VerizonSupport is fios down in New York City? Have the infamous ""red globe"" on my router","@359534 Not that we are aware of. You can log in and check for outages at the following link.  https://t.co/23l1NL2Cva
^TXA"
@VerizonSupport I Understand. Just will make sure to be compensated,"@358366 You will be credited for the time you are without service. Is there anything else we can answer for you?
^TXA"
"@VerizonSupport At the sign-on screen is keeps looping saying ""please wait"".",@358968 That's odd! Are you having the same experince via you MyFios app? ^DDG
"@115725 Ps- I've contacted my legal council. You'd better pray I can stretch his doses out, you incompetent morons.","@359538 We do understand the frustration. Is this related to residential or cellular billing?
^TXA"
"Hey @115722 we pay enough for Cable, we don’t need to get additional On Demand ads from you constantly.","@359535 Hi Peter, you can go to the Menu and then select Settings&gt;Notifications and disable Pop up alerts and disable promotions.
^ADP"
@VerizonSupport Doh! I found the fix. Note to self. Cats can unplug cables sometimes when they run around,"@359534 Oh meow! This is true..We are glad you found the fix, you're welcome to come back here anytime!
^ADP"
@VerizonSupport No. I don't have the FiOs app. FiOs isn't avail in my area,"@358968 Is this for residential or cellular service?
^TXA"
@VerizonSupport Fios.,"@359538 Where you double billed?
^TXA"
@VerizonSupport Residental.........started @115725.com,@358968 Thanks for the info. Please follow and DM so we continue. ^DDG
@115722 when can loyal customers be eligible for a new customer discount again? You keep screwing us year after year.,@385617 Please follow and DM so we can continue. ^DDG
@115725: been a customer for years and I just found out I am paying over twice as much for FIOS as my neighbors for half the speed they get,"@543277 We will be more than happy to check to see if there are some discounts that you may qualify for. Please follow and DM us. 
^TXA"
"@VerizonSupport Yes, and your accounting department admitted it was a mistake on their end and said it would be handled yesterday. They also agreed to pay the overdraft fees if there were any (and guess what? there are!) I inboxed my number to the verizon main DM. Someone had better call me.","@359538 The financial service team is only available on Monday - Friday 8:30am- 5:30pm there number is     
1- 800.698.3545
^ADP"
I can’t wait to switch to Fios,"@543274 We can't wait to have you! We have many different bundles fit for your liking. Use this link to check them out.^DDG
https://t.co/aix4ChULfN"
@115722 I live in an apartment building with many people who have the same service.  I have the same lines as they do.,@364063 Help is here! Please follow and DM so we can gather more info. ^DDG
"@VerizonSupport I do not have enough internet speed to load a page. Is there a problem, because if this is throttling, you should lawyer up.",@360483 We can help you with that. Please run a test at https://t.co/yMMRB4VWSM and post the results. ^KMG
"Ok, I'm done with @115725 
Your network is trash","@360482 What is going on today?
^ADP"
@115722 Why can't I watch TCM online? I have a Fios account that has TCM included.,@360776 Fios is listed as an accepted provider on their website. Are you getting an error when you try to sign in? ^KMG
Definitely switching from @115722 as soon as possible. I’ve had nothing but issues with service since I got it.,"@361121 Hi Cam, what is going on?
^ADP"
@VerizonSupport You’re really making it sound like it’s 3 easy steps...I guarantee I’ll be goin thru the same thing when I get home so I guess we will see,@319664 Let us know. We'll be right here for you! ^DDG
@115725 @VerizonSupport why is it so difficult to pay a bill online? the page keeps reloading🤬🤬🤬,@361824 Help is here! Are you having the same experience via your MyFios app? ^DDG
.@115722 SUCKS https://t.co/zb9y3QUDmx,@359062 Allow us to help! What area are you located? ^DDG
@115725 @VerizonSupport what is wrong with you network in 80642 I pay unlimited and have NO INTERNET right now. This is crap,"@361823 Is this for your Verizon residential or Verizon wireless mobile?
^ADP"
@VerizonSupport why am I getting these text messages when I have unlimited data????? https://t.co/kdZDmPkK2J,@361821 We will let @115990 know you need help. ^KMG
@218308 @VerizonSupport @218309 False on customer support,@362222 We will let @115990 know you need help. ^KMG
@VerizonSupport DM'ing you now. My husband has been on the phone for about an hour with someone telling us they can't help. Punting to you!,"@361822 You have local outage currently going on?
^ADP"
My husband has been on the line with @115725 for about an hour and the customer support specialist just hung up on him. Well then.,@361822 We woudl like to look into this for you. Please click the link to join us in a secure chat. https://t.co/xp0ur7VwPp ^KMG
@115725 @VerizonSupport I have tried cancelling my cable and Internet bc I am moving TWICE. Ur supposed to be open right now! Wtf do I do??,"@362605 You can place an order to move your service at the link. https://t.co/hNYNhQlvM4 If you need to cancel, give us a call at 1-800-Verizon.^KMG"
@115955 My only other option is @115722 soooo FIOS it is.,@362607 We do have some pretty sweet deals right now. https://t.co/DysRZa0MMN ^KMG
@VerizonSupport I don't want to move my service I'd like to please cancel. I called that number and was told by automated message that ur closed right now,"@362605 When it asked for a phone number, did you enter yoru land line number or a cell phone number? ^KMG"
So exactly why can't I use #IDGo @202320 @115722?,@362604 You can sign up to be notified why they add us at the link. https://t.co/xsHkeuvtfj ^KMG
"@VerizonSupport It's not for cell service, it's to cancel my cable and Internet",@362605 We understand that. Our billing department is open right now. Entering a cell phone would cause a misdirect to wireless. ^KMG
Idk wtf y’all doing @115725 but I need y’all to get y’all shit together. My service has been lagging for too long.,@362982 Help is here. Are you having an issue with your land line service or cellular? ^KMG
@VerizonSupport So which number do I call? I literally got directed to an automated message that cable and Internet customer service is closed,"@362605 You would call the 1-800-837-4966 number.
^ADP"
@VerizonSupport I’ll definitely be looking into it ❤️,@362607 Let us know if you need help with anything. ^KMG
FINALLY saying goodbye to @116136 today. Y’all had THE WORST service. (not just customer service) Hello @115722 it’s nice to meet you.,"@363560 And we are happy to meet you too! Thanks for joining the fios family!
^ADP"
"@VerizonSupport I want to cancel my service. I tried last night but you're closed, and I have to talk to a rep. Why? Just cancel it. DM Me!",@363559 Please follow and DM so we can continue Eric. ^DDG
Strongly suggest no one uses @115725 !!  Worst customer service.  I have been on he phone over hour and a half with no resolution,"@364031 We are sorry to hear this. Is this for your Verizon residential or Verizon wireless mobile?
^ADP"
@VerizonSupport I wanted to inquire about a $100 port-in credit that I should have received on my bill. Is that something you can help with?,@364032 Are your concerns in reference to your residential or mobile account with us?^DDG
@115722 I currently have service.  thank u,@358366 You are most welcome! Let us know if you need anything. ^KMG
@115725 @VerizonSupport No service in bucks county PA .... shocker. #NOT https://t.co/po7UMW8Vua,@364030 We will let @115990 know you need help. ^KMG
@VerizonSupport Wireless mobile,@364031 Gotcha! Allow us to get you over to our @115990 for assistance. ^DDG
@VerizonSupport been trying to order new iPhone for days. CSR has missed many phone appts. Should I go to ATT or do you want To keep my biz,@364279 We will let @115990 know you need help. ^KMG
@117735 Thank you for all the help ... oh wait you didn’t help or answer anything.  After 5 years maybe time to switch? @115725 @116136,"@364646 We have many different bundles fit for your liking. Use this link to check them out. ^DDG
https://t.co/vDyC4qwoU0"
"@45317 @115722 It’s pretty good when it’s working actually, but it goes out so much it’s hardly worth it",@361121 Which of your services are cutting out? ^KMG
"@VerizonSupport Internet, and I pay extra for the top package you offer which makes it more frustrating",@361121 We can help with this. What color is the internet or globe light on your router? ^DDG
"@153763 @9921 Why on my FIOS On-Demand do they only have episodes 6, 8, and 10 from Season 1 to watch .   Make them all available",@365180 We would like to take your feedback on this please follow and DM us. ^KMG
@VerizonSupport Cellular.,@362982 We will let @115990 know you need help. ^KMG
"@VerizonSupport Is online ordering down? I have been on the online order page for 10 minutes, no results.","@365573 We haven't heard anything. You may need to try a different browser?
^ADP"
@115955 you cut off any channels I will be going right back to @115722 try me 😒,"@365574 We have many different bundles fit for your liking. Use this link to check them out. ^DDG
https://t.co/n3UGp7TthM"
"@VerizonSupport I have tried chrome, ie and edge. Same on all 3 going on 20 minutes now. https://t.co/qzPZ6qJnIN",@365573 That's odd. Are you attempting to order via our residential or mobile site? ^DDG
@VerizonSupport Residential. Attempting to renew my contract.,@365573 Try clearing your browser cache and try it again. ^KMG
@115722 worst customer support I’ve ever dealt with. Bring the support back to the US.  Where you don’t constantly hear ‘hold on please,@366494 This is not the perception we want you to have of us. Allow us to turn this around for you. How can we assist? ^DDG
@VerizonSupport There is no light. It won’t stay on. When I hold the battery button it flashes and beeps and it’s off.,"@361121 Can you take a pic of the router in the front and post it here?
^ADP"
@VerizonSupport I have cleared cache on both chrome and IE. Same results. Also tried on a different computer. Same.,"@365573 We tested the website and we are having no issues. Can you reboot your router please.
^JAY"
"@VerizonSupport I will never use this service again if I do not figure this out. This is the third time, I just want to cancel my acct bc I'm moving.","@362605 When it asks you for a phone number, are you entering your land line number or a cell phone number? ^KMG"
@VerizonSupport This is absolutely infuriating and very frustrating!,"@362605 There may be an issue with our routing. Could you try this number, 888-553-1555 ,and let us know if that one goes through for you.  ^RMD"
"@VerizonSupport rebooted. Same. I can get to everything except when I click on ""specials deals"" or ""renew now"" I get hung up with it looking for deals.","@365573 Were you able to log in?
^JAY"
@115722 You know we pay for higher speeds but get the same terrible connections...What sucks too is Xfinity isn’t much better,@367152 Oh no! What do you mean by terrible connections? We would like to help. ^KMG
"@VerizonSupport Yes I am able to login. When I click on renew now the website gets hung up. I can watch tv from the browser, it recognizes my account.","@365573 Hate to ask but do you have another device altogether, that you could try on? ^RMD"
@VerizonSupport I have tried on 2 separate computers. Can try on a 3rd.,"@365573 Try to delete your browser cookies in one of the browsers and cache information.
https://t.co/sKwP6bcX2r

^ADP"
Hey @VerizonSupport why are my downloads getting stuck at 82 MB?,"@357513 Are you doing a wired or wireless test?
^JAY"
"@115722 my online &amp; paper bills don't match.  Last mo it showed credit balance online so didn't pay, now paper shows month overdue?","@368895 Hardcopy bill is least up to date than online. What does your statement say on your MyFios app or our site? 
^DDG
https://t.co/SvaJ959Uoz"
@VerizonSupport Already did that. Device 3&amp;4. Same. That's 3 pcs and 1 ipad.,@365573 No problem! Please follow and DM so we can continue. ^DDG
@VerizonSupport i'm still having issues with my macbook with my fios Wi-FI and i tried restarting and it still is refusing to let me connect,@200590 Is your mac book seeing your Verizon network name?  ^RMD
@VerizonSupport yes it is but it is still rejecting the correct password.,@200590 Are you able to logon to your internet with other devices? ^RMD
"Hey @115722, this is what @115955 considers okay despite intermittent service/outages. Please bring service to my building! 😩 https://t.co/tQBgsjJKUp",@368198 Is Fios already close by? ^KMG
"@VerizonSupport Last time I checked, yes. It’s in the neighborhood but not my building.","@368198 We're always expanding our Fios footprint. You can check for avail and status here.  https://t.co/ORiuSDKAVQ 
^JAY"
This @115725 data service is really chapping my ass .,"@368199 Is this for your Verizon residential or Verizon wireless mobile?

^ADP"
